name,price,categoryName
142 Chicken Makhni Karahi (Half),1050,Desi
143 Chicken Makhni Karahi (Full),1950,Desi
144 Chicken Namkeen Karahi (Half),950,Desi
145 Chicken Namkeen Karahi (Full),1700,Desi
146 Green Chilli Chicken Karahi (Half),950,Desi
147 Green Chilli Chicken Karahi (Full),1700,Desi
148 Arabian Chicken Handi (Half),1150,Desi
149 Arabian Chicken Handi (Full),2200,Desi
150 Chicken White Handi (Half),1150,Desi
151 Chicken White Handi (Full),2200,Desi
152 Chicken Achari (Half),1000,Desi
153 Chicken Achari (Full),1800,Desi
154 Shenwari Mutton Karahi (Half),1650,Desi
155 Shenwari Mutton Karahi (Full),31400,Desi
156 Peshawri Namkeen Mutton Karahi (Half),1600,Desi
157 Peshawri Namkeen Mutton Karahi (Full),3000,Desi
158 Balochi Mutton Karahi (Half),1700,Desi
159 Balochi Mutton Karahi (Full),3200,Desi
160 Mutton Handi (Half),1750,Desi
161 Mutton Handi (Full),3300,Desi
162 Mutton Joint / Rosh,1000,Desi
163 Chicken Malai Boti (Boneless),650,BBQ
164 Chicken Tikka,500,BBQ
165 Chicken Tikka Boti,500,BBQ
166 Beef Behari Boti,580,BBQ
167 Fish Tikka,740,BBQ
168 Beef Gola Kabab,550,BBQ
169 Mutton Chops,1000,BBQ
170 Seekh Kabab,650,BBQ
171 Reshmi Kabab,550,BBQ
172 BBQ Platter (Half),2600,BBQ
173 BBQ Platter (Full),7500,BBQ
174 Shahi Platter (Half),5000,BBQ
175 Shahi Platter (Full),14000,BBQ
176 Spanish Flan,400,Dessert
177 Mango Mousse,430,Dessert
178 Molten Lava,600,Dessert
179 Gajrela (Bowl),450,Dessert
180 Mix Kheer,550,Dessert
181 Gulab Jamun,300,Dessert
182 Ras Malai,360,Dessert
183 Sizzling Brownie with Ice Cream,400,Dessert
184 Ice Cream (2 Scoops),270,Dessert
185 Ice Cream (3 Scoops),400,Dessert
186 Painapple Crunch,950,Dessert
201 American Coffee,300,Coffee & Tea
202 Expresso,250,Coffee & Tea
203 Cappuccino,350,Coffee & Tea
204 Mocca Chino,420,Coffee & Tea
205 Cold Coffee,450,Dessert
206 Cold Coffee With Ice Cream,480,Dessert
207 Hot Chocolate,350,Coffee & Tea
208 Latte Coffee,350,Coffee & Tea
209 Green Tea & Lemon Or Mint,90,Coffee & Tea
210 Doodh Patti,200,Coffee & Tea
211 Sulemani Tea,90,Coffee & Tea
212 Spiced Honey Wings (6 Piece),550,Fast Food
213 French Fries,300,Fast Food
214 Greek Feta Cheese Salad,500,Salad
215 Chef Salad,700,Salad
216 Caesar Salad,600,Salad
217 Hawaiian Salad,700,Salad
218 Chicken Panini Sandwich (2 Pcs),500,Fast Food
219 Grilled Beef Panini Sandwich (2 Pcs),580,Fast Food
220 Club Beef Burger,450,Fast Food
221 Chicken Burger,400,Fast Food
222 Barbeque Burger,500,Fast Food
223 Philly Cheese Steak Sandwich,590,Fast Food
224 Special Zinger Burger,650,Fast Food
225 Bakers Street Club Sandwich,500,Fast Food
226 Chicken Sandwich,400,Fast Food
226 Grilled Cheese and Tomato Sandwich,480,Fast Food
227 Chicken Parmesan,750,Italian
228 Pane Bolognese,700,Italian
229 Alfredo Pasta,700,Italian
230 Fish and Chips,1290,Italian
231 Lasagna,1290,Italian
232 Pizza au Tandoori (Medium),1490,Italian
233 Pizza au Tandoori (Large),2090,Italian
234 Chicken Patties,100,Confectionery
235 Chocolate Brownie,100,Confectionery
236 Walnut Brownie,100,Confectionery
237 Date & Almond,120,Confectionery
238 Basbousa,80,Confectionery
239 Mini Pizza,120,Confectionery
240 Lemon Tart,100,Confectionery
241 Walnut Tart,180,Confectionery
242 Chocolate Eclairs,170,Confectionery
243 Doughnut,190,Confectionery
244 Cup Cake,90,Confectionery
245 Banana Bread,80,Confectionery
246 Lemon Cake,60,Confectionery
247 Cream Roll,120,Confectionery
248 Cinnamon Roll,200,Confectionery
249 Raisin Bread,130,Confectionery
250 Assorted Milkshake,400,Confectionery
